time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,time/episodes,rollout/exploration_rate
1,1,1024,745,,,,,,,,,,,,
4,2,2048,493,0.40484929755330085,-0.5123401880264282,0.001,0.2591796875,10,0.04937107488512993,0.2,-1.0829338327050209,0.034306336,-0.0449226476601325,,
7,3,3072,430,0.39893925124779345,-0.35965216159820557,0.001,0.42314453125,20,0.03349319100379944,0.2,-1.0375212624669075,0.063348465,-0.06607662466121837,,
10,4,4096,398,0.4774329605512321,-0.31932497024536133,0.001,0.5123046875,30,-0.002135731279850006,0.2,-0.971014728024602,0.095318586,-0.06422871351824141,,
14,5,5120,363,0.4084989519789815,-0.41176390647888184,0.001,0.5267578125,40,0.0865897610783577,0.2,-0.9055731009691954,0.113936976,-0.05486585646285676,,
0,,7,585,0.4686487216502428,-0.25438106060028076,0.001,0.531640625,50,0.05793072283267975,0.2,-0.8250687025487423,0.14769848,-0.04960174365551211,1,0.9933844011142062
0,,14,621,,,,,,,,,,,2,0.9867688022284125
0,,21,663,,,,,,,,,,,3,0.9801532033426187
0,,28,686,,,,,,,,,,,4,0.9735376044568249
0,,35,711,,,,,,,,,,,5,0.9669220055710311
0,,42,730,,,,,,,,,,,6,0.9603064066852364
0,,49,739,,,,,,,,,,,7,0.9536908077994426
0,,56,744,,,,,,,,,,,8,0.9470752089136488
0,,63,751,,,,,,,,,,,9,0.940459610027855
0,,70,759,,,,,,,,,,,10,0.9338440111420613
0,,77,765,,,,,,,,,,,11,0.9272284122562675
0,,84,768,,,,,,,,,,,12,0.9206128133704737
0,,91,769,,,,,,,,,,,13,0.91399721448468
0,,98,772,,,,,,,,,,,14,0.9073816155988861
0,,105,568,,,0.001,,2,0.09684151411056519,,,,,15,0.9007660167130924
0,,112,339,,,0.001,,5,0.046105705201625824,,,,,16,0.8941504178272975
0,,119,282,,,0.001,,9,0.03853818029165268,,,,,17,0.8875348189415038
0,,126,250,,,0.001,,12,0.03527623787522316,,,,,18,0.88091922005571
