time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_loss
256,0,801,1,,,,,,
512,0,568,2,1,-0.6931425333023071,0.001,0.0007176399230957031,65.810791015625,3.9592947959899902
768,1,631,3,2,-0.6911033391952515,0.001,-0.014820575714111328,32.85321807861328,1.9475196599960327
1024,1,591,4,3,-0.6848659515380859,0.001,-0.13835358619689941,34.85224914550781,1.5277824401855469
1280,2,592,5,4,-0.6511561274528503,0.001,-0.04902660846710205,34.52788162231445,1.3374099731445312
1536,2,572,6,5,-0.5759918093681335,0.001,-0.006472349166870117,29.372453689575195,1.6564844846725464
1792,3,582,7,6,-0.5642514228820801,0.001,-0.0030890703201293945,39.705562591552734,-0.32445186376571655
2048,3,567,8,7,-0.621093213558197,0.001,0.0024251937866210938,30.933650970458984,-0.5831690430641174
2304,3,576,9,8,-0.5455814599990845,0.001,-0.01284170150756836,32.28350830078125,1.7236406803131104
2560,4,580,10,9,-0.5063881278038025,0.001,-0.0058519840240478516,42.0096549987793,1.085024118423462
2816,4,590,11,10,-0.37979015707969666,0.001,-0.005727052688598633,41.50203323364258,-0.5861263275146484
3072,5,596,12,11,-0.31264814734458923,0.001,0.003858625888824463,39.33453369140625,1.8841874599456787
3328,5,597,13,12,-0.30885276198387146,0.001,0.004974424839019775,37.49766540527344,0.28199654817581177
3584,5,599,14,13,-0.2859693765640259,0.001,0.0035341978073120117,47.61191177368164,2.4667606353759766
3840,6,592,15,14,-0.3088304102420807,0.001,-0.002283334732055664,30.96268653869629,1.2720904350280762
4096,6,600,16,15,-0.29370570182800293,0.001,-0.0008527040481567383,44.32234191894531,-0.269107460975647
4352,7,598,17,16,-0.24394012987613678,0.001,-0.003979325294494629,57.37499237060547,0.23193421959877014
4608,7,596,18,17,-0.21043409407138824,0.001,0.0017349720001220703,51.837615966796875,1.596569538116455
4864,8,597,19,18,-0.26596397161483765,0.001,0.0019081830978393555,70.23297882080078,0.7127755284309387
5120,8,598,20,19,-0.2483634352684021,0.001,0.0018442869186401367,61.62078094482422,0.8171491026878357
5376,8,599,21,20,-0.2800210416316986,0.001,-0.0008585453033447266,115.19580078125,2.9312119483947754
5632,9,598,22,21,-0.24045249819755554,0.001,0.0007631778717041016,48.31159973144531,1.5378066301345825
5888,9,603,23,22,-0.22437086701393127,0.001,0.0011214017868041992,77.95660400390625,1.6880967617034912
6144,10,602,24,23,-0.20247560739517212,0.001,0.0009480118751525879,72.70404815673828,1.4474149942398071
6400,10,602,25,24,-0.22829382121562958,0.001,0.0015831589698791504,60.25619888305664,1.081751823425293
6656,11,602,26,25,-0.24831387400627136,0.001,-0.0009468793869018555,34.924346923828125,1.0078601837158203
6912,11,603,27,26,-0.2944265902042389,0.001,0.0002790093421936035,55.12627410888672,1.1633985042572021
7168,11,603,28,27,-0.25257551670074463,0.001,0.0009107589721679688,43.01778030395508,0.8909394145011902
7424,12,603,29,28,-0.3068559467792511,0.001,0.0012241601943969727,49.50922393798828,1.8574190139770508
7680,12,605,30,29,-0.34473955631256104,0.001,0.001261293888092041,29.634597778320312,-0.4140723943710327
7936,13,608,31,30,-0.19898127019405365,0.001,0.0003985762596130371,95.81572723388672,2.394726037979126
8192,13,607,32,31,-0.15722694993019104,0.001,-0.00014793872833251953,58.43755340576172,0.6575829386711121
8448,13,607,33,32,-0.19486300647258759,0.001,0.000887453556060791,50.81794738769531,0.7015372514724731
8704,14,609,34,33,-0.19077719748020172,0.001,0.0011224150657653809,49.27906799316406,1.137249231338501
8960,14,609,35,34,-0.16645869612693787,0.001,-5.638599395751953e-05,129.27745056152344,2.000598907470703
9216,15,604,36,35,-0.2224745750427246,0.001,0.00023406744003295898,38.27884292602539,0.6511096358299255
9472,15,606,37,36,-0.2011215090751648,0.001,0.00012540817260742188,93.7987060546875,0.7225146293640137
9728,16,602,38,37,-0.19459912180900574,0.001,0.0004436969757080078,118.78375244140625,1.587281346321106
9984,16,602,39,38,-0.18256157636642456,0.001,0.00043004751205444336,57.44346618652344,1.0911046266555786
10240,17,597,40,39,-0.21374748647212982,0.001,0.0004673600196838379,71.01649475097656,3.11230206489563
10496,17,597,41,40,-0.3167634606361389,0.001,0.00025069713592529297,22.87826919555664,0.008166566491127014
10752,17,599,42,41,-0.28557634353637695,0.001,0.00017023086547851562,17.289920806884766,-0.4935902953147888
11008,18,600,43,42,-0.15177330374717712,0.001,0.0002936124801635742,39.81767272949219,0.6450831294059753
11264,18,597,44,43,-0.15687629580497742,0.001,0.00012612342834472656,70.58905029296875,0.7970637679100037
11520,19,598,45,44,-0.14842882752418518,0.001,0.00039690732955932617,54.7988395690918,0.7299588322639465
11776,19,595,46,45,-0.17415142059326172,0.001,0.00034433603286743164,62.88288116455078,0.6662693023681641
12032,20,592,47,46,-0.19055460393428802,0.001,0.0004165172576904297,59.8570442199707,0.380923330783844
12288,20,589,48,47,-0.14501738548278809,0.001,0.0005328655242919922,70.5971450805664,0.616925060749054
12544,21,591,49,48,-0.14014019072055817,0.001,0.00011235475540161133,68.02642822265625,0.4737171530723572
12800,21,591,50,49,-0.15756231546401978,0.001,0.0002790689468383789,48.387943267822266,0.8192320466041565
13056,22,588,51,50,-0.15373125672340393,0.001,0.00011807680130004883,35.40869903564453,0.05203365534543991
13312,22,586,52,51,-0.13152547180652618,0.001,0.0001976490020751953,43.474910736083984,0.15399736166000366
13568,23,586,53,52,-0.13465529680252075,0.001,0.00023567676544189453,33.55154800415039,0.3232210874557495
13824,23,587,54,53,-0.14808355271816254,0.001,0.00013643503189086914,53.93916320800781,0.93038010597229
14080,23,587,55,54,-0.1362905651330948,0.001,0.00011712312698364258,50.593162536621094,0.3442528545856476
14336,24,588,56,55,-0.13195383548736572,0.001,4.1484832763671875e-05,38.833221435546875,-0.0009102188050746918
14592,24,588,57,56,-0.13379377126693726,0.001,3.802776336669922e-05,26.924636840820312,0.021529458463191986
