train/n_updates,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,train/loss,rollout/exploration_rate,time/episodes
250,0.001,602,8,73,0.15659993886947632,0.8024115533443894,1
551,0.001,1204,17,67,0.33343127369880676,0.6048231066887788,2
852,0.001,1806,27,64,0.015912286937236786,0.4072346600331672,3
1153,0.001,2408,38,63,0.05011139065027237,0.20964621337755662,4
1454,0.001,3010,47,62,0.08982081711292267,0.05,5
1755,0.001,3612,58,62,0.08660893142223358,0.05,6
2056,0.001,4214,68,61,0.030193082988262177,0.05,7
2357,0.001,4816,78,61,0.032445743680000305,0.05,8
2658,0.001,5418,88,61,0.11726059019565582,0.05,9
2959,0.001,6020,98,60,0.0870138630270958,0.05,10
3260,0.001,6622,108,60,0.08745301514863968,0.05,11
3561,0.001,7224,118,60,0.06401649117469788,0.05,12
3862,0.001,7826,128,61,0.10602456331253052,0.05,13
4163,0.001,8428,137,61,0.016413956880569458,0.05,14
4464,0.001,9030,146,61,0.046312116086483,0.05,15
4465,0.001,9031,146,61,0.01878862828016281,0.05,16
4765,0.001,9632,156,61,0.3224596381187439,0.05,17
5066,0.001,10234,165,61,0.11771945655345917,0.05,18
5367,0.001,10836,176,61,0.3340536653995514,0.05,19
5668,0.001,11438,185,61,0.16718652844429016,0.05,20
5969,0.001,12040,195,61,0.14329606294631958,0.05,21
6270,0.001,12642,205,61,0.4278995394706726,0.05,22
6571,0.001,13244,215,61,0.2745063006877899,0.05,23
6872,0.001,13846,226,61,0.12798768281936646,0.05,24
7173,0.001,14448,236,61,0.1741907000541687,0.05,25
7474,0.001,15050,246,61,0.20594140887260437,0.05,26
7775,0.001,15652,256,61,0.19807301461696625,0.05,27
8076,0.001,16254,266,60,0.12301886081695557,0.05,28
8377,0.001,16856,277,60,0.3129498064517975,0.05,29
8678,0.001,17458,286,60,0.15544728934764862,0.05,30
8979,0.001,18060,296,60,0.12062618881464005,0.05,31
8980,0.001,18061,296,60,0.09858855605125427,0.05,32
9280,0.001,18662,306,60,0.19990578293800354,0.05,33
9581,0.001,19264,315,60,0.2716691493988037,0.05,34
9882,0.001,19866,329,60,0.12158762663602829,0.05,35
10183,0.001,20468,340,60,0.1209108904004097,0.05,36
10484,0.001,21070,348,60,0.3825143277645111,0.05,37
10785,0.001,21672,357,60,0.15213492512702942,0.05,38
11086,0.001,22274,371,60,0.2531961500644684,0.05,39
11387,0.001,22876,389,58,0.19616110622882843,0.05,40
11688,0.001,23478,404,57,0.21004977822303772,0.05,41
11989,0.001,24080,416,57,0.09902633726596832,0.05,42
12290,0.001,24682,425,58,0.1657785028219223,0.05,43
12591,0.001,25284,433,58,0.23100025951862335,0.05,44
12892,0.001,25886,441,58,0.32547494769096375,0.05,45
13193,0.001,26488,450,58,0.12562617659568787,0.05,46
13494,0.001,27090,459,59,0.3365912437438965,0.05,47
13495,0.001,27091,459,59,0.2619428336620331,0.05,48
13795,0.001,27692,467,59,0.2304367870092392,0.05,49
14096,0.001,28294,475,59,0.1338546872138977,0.05,50
14397,0.001,28896,484,59,0.1615307480096817,0.05,51
