train/n_updates,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,train/loss,rollout/exploration_rate,time/episodes
250,0.001,602,9,66,0.10065869987010956,0.8024115533443894,1
551,0.001,1204,16,73,0.10670040547847748,0.6048231066887788,2
852,0.001,1806,25,70,0.22702500224113464,0.4072346600331672,3
1153,0.001,2408,34,70,0.25769397616386414,0.20964621337755662,4
1454,0.001,3010,47,63,0.3062770962715149,0.05,5
1755,0.001,3612,57,63,0.021658573299646378,0.05,6
2056,0.001,4214,67,62,0.20462819933891296,0.05,7
2357,0.001,4816,76,62,0.1474231332540512,0.05,8
2658,0.001,5418,86,62,0.16136077046394348,0.05,9
2959,0.001,6020,96,62,0.008639242500066757,0.05,10
3260,0.001,6622,107,61,0.0201693307608366,0.05,11
3561,0.001,7224,116,61,0.07856318354606628,0.05,12
3862,0.001,7826,126,62,0.0095791295170784,0.05,13
4163,0.001,8428,135,62,0.06769007444381714,0.05,14
4464,0.001,9030,144,62,0.03664761409163475,0.05,15
4465,0.001,9031,144,62,0.2623690068721771,0.05,16
4765,0.001,9632,154,62,0.008049402385950089,0.05,17
5066,0.001,10234,164,62,0.13398046791553497,0.05,18
5367,0.001,10836,174,62,0.08498963713645935,0.05,19
5668,0.001,11438,183,62,0.12768957018852234,0.05,20
5969,0.001,12040,193,62,0.16759216785430908,0.05,21
6270,0.001,12642,203,62,0.1568087339401245,0.05,22
6571,0.001,13244,212,62,0.08237303793430328,0.05,23
6872,0.001,13846,222,62,0.15026873350143433,0.05,24
7173,0.001,14448,230,62,0.11591406911611557,0.05,25
7474,0.001,15050,239,62,0.15298521518707275,0.05,26
7775,0.001,15652,248,62,0.17232289910316467,0.05,27
8076,0.001,16254,263,61,0.09189419448375702,0.05,28
8377,0.001,16856,272,61,0.08632081001996994,0.05,29
8678,0.001,17458,281,61,0.19596034288406372,0.05,30
8979,0.001,18060,291,61,0.28062811493873596,0.05,31
8980,0.001,18061,291,61,0.19930225610733032,0.05,32
9280,0.001,18662,302,61,0.1659308820962906,0.05,33
9581,0.001,19264,311,61,0.17829018831253052,0.05,34
9882,0.001,19866,320,61,0.09581805765628815,0.05,35
10183,0.001,20468,330,61,0.19510546326637268,0.05,36
10484,0.001,21070,339,62,0.2511313259601593,0.05,37
10785,0.001,21672,348,62,0.20443843305110931,0.05,38
11086,0.001,22274,358,62,0.08889402449131012,0.05,39
11387,0.001,22876,367,62,0.4331817030906677,0.05,40
11688,0.001,23478,376,62,0.21148352324962616,0.05,41
11989,0.001,24080,384,62,0.11145009100437164,0.05,42
12290,0.001,24682,391,62,0.22661921381950378,0.05,43
12591,0.001,25284,401,62,0.1465902030467987,0.05,44
12892,0.001,25886,410,63,0.18491311371326447,0.05,45
13193,0.001,26488,419,63,0.11333631724119186,0.05,46
13494,0.001,27090,428,63,0.1900571882724762,0.05,47
13495,0.001,27091,428,63,0.11508426070213318,0.05,48
13795,0.001,27692,438,63,0.12161890417337418,0.05,49
14096,0.001,28294,447,63,0.1881811022758484,0.05,50
14397,0.001,28896,456,63,0.21153835952281952,0.05,51
