time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/learning_rate,train/explained_variance,train/value_loss,train/is_line_search_success
1014,1,667,1,,,,,,,
2028,8,246,2,1,0.006604974623769522,0.03438028693199158,0.001,-0.00017333030700683594,22.833766239881516,1.0
3042,20,148,3,2,0.0,-0.013034586794674397,0.001,-0.029341697692871094,22.258298552036287,0.0
4056,27,145,4,3,0.009490174241364002,-0.003339605638757348,0.001,-0.0013893842697143555,20.512791711091996,1.0
5070,35,144,5,4,0.0,-0.013778064399957657,0.001,-0.0018841028213500977,18.733147567510606,0.0
6084,45,134,6,5,0.008626741357147694,0.01145054679363966,0.001,0.0013338923454284668,25.421295511722565,1.0
7098,52,135,7,6,0.009527609683573246,0.020458603277802467,0.001,0.0009658932685852051,22.914087641239167,1.0
8112,59,136,8,7,0.009220339357852936,-0.005388414952903986,0.001,-0.00763702392578125,21.49421555399895,1.0
9126,66,137,9,8,0.009968683123588562,0.0029686368070542812,0.001,0.0071318745613098145,17.50567496418953,1.0
10140,73,137,10,9,0.009444785304367542,-0.012864564545452595,0.001,0.0023668408393859863,22.774298959970473,1.0
11154,81,137,11,10,0.009984317235648632,-0.006374165415763855,0.001,0.0057520270347595215,26.961136639118195,1.0
12168,94,128,12,11,0.0,-0.014298510737717152,0.001,-0.018649816513061523,20.496332371234892,0.0
13182,102,129,13,12,0.009864643216133118,-0.005235326010733843,0.001,0.0067542195320129395,19.71193895339966,1.0
14196,109,129,14,13,0.0,-0.015703527256846428,0.001,0.004364132881164551,21.78523907661438,0.0
15210,118,128,15,14,0.0,-0.02546895481646061,0.001,0.011757433414459229,21.716494584083556,0.0
16224,125,129,16,15,0.0,-0.013422648422420025,0.001,0.005914866924285889,20.9409265935421,0.0
17238,134,128,17,16,0.0,-0.016769932582974434,0.001,-0.019882559776306152,22.94134630560875,0.0
18252,144,126,18,17,0.0,-0.023792805150151253,0.001,-0.013735651969909668,19.80588135123253,0.0
19266,151,127,19,18,0.0,-0.01966097578406334,0.001,7.271766662597656e-06,20.36401621699333,0.0
20280,158,127,20,19,0.0,-0.012795671820640564,0.001,-0.01138150691986084,21.428419530391693,0.0
